epochs,EmbeddingSimilarity,nll-test,tei,
1,-0.30678061722243244,6.6715956,0.4826027671496073,
6,-0.33244138701980164,6.4626284,0.6134228944778443,
10,-0.10088373070667397,7.6615286,2.323784856001536,
