epochs,EmbeddingSimilarity,nll-test,tei,
1,-1.105248422551925,6.058828,0.5490669727325439,
6,-0.4350454127004175,3.50802,0.855775511264801,
10,-0.21309968176077632,3.570755,3.232355562845866,
