epochs,nll-oracle,nll-test,EmbeddingSimilarity,tei,
1,10.801351,7.603778,-0.21095909140317098,1.913431743780772,
6,10.2426195,7.078202,-0.20540504246519084,3.0564680298169455,
10,10.158524,7.100419,-0.203002399998802,9.517285446325937,
