epochs,nll-oracle,nll-test,EmbeddingSimilarity,tei,
1,12.125608,40.74837,-0.19753505830293872,1.8992374420166016,
6,11.784277,37.38587,-0.3112476069733989,2.643408727645874,
10,11.792742,37.637493,-0.30989250215014796,2.435472810268402,
