epochs,EmbeddingSimilarity,nll-test,tei,
1,-1.1531805363939567,6.163121,0.5115886847178142,
6,-0.8010058459085081,3.9093695,0.6964174747467041,
10,-0.5789146542650507,3.737782,2.9118083318074546,
