epochs,EmbeddingSimilarity,nll-test,tei,
1,-0.28889333004777945,37.583923,0.5389316598574321,
6,-0.34048784494127277,37.840202,0.5677025357882182,
10,-0.4097643630537463,38.636314,0.9294394056002299,
