epochs,nll-oracle,nll-test,EmbeddingSimilarity,tei,
1,10.801351,7.603778,-0.21209814405838573,1.7557617823282878,
6,10.239081,7.0782847,-0.20937946371717622,2.829422072569529,
10,10.139084,7.1036267,-0.20397514341068798,9.163161687056224,
